"Popolazione residente al 1° Gennaio 2020 per età sesso e stato civile"
"Regione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
Lombardia,92,,,,,,,,5113,,,,,,,,14471
Lombardia,93,,,,,,,,3711,,,,,,,,11579
Lombardia,94,,,,,,,,2638,,,,,,,,9284
Lombardia,95,,,,,,,,1790,,,,,,,,7172
Lombardia,96,,,,,,,,1283,,,,,,,,5339
Lombardia,97,,,,,,,,816,,,,,,,,3795
Lombardia,98,,,,,,,,536,,,,,,,,2793
Lombardia,99,,,,,,,,312,,,,,,,,1781
Lombardia,100,,,,,,,,248,,,,,,,,2070
Lombardia,Totale,,,,,,,,4949770,,,,,,,,5154199
Trentino-Alto Adige/Südtirol,0,,,,,,,,4872,,,,,,,,4534
Trentino-Alto Adige/Südtirol,1,,,,,,,,5005,,,,,,,,4721
Trentino-Alto Adige/Südtirol,2,,,,,,,,5146,,,,,,,,4875
Trentino-Alto Adige/Südtirol,3,,,,,,,,5250,,,,,,,,5013
Trentino-Alto Adige/Südtirol,4,,,,,,,,5308,,,,,,,,5073
Trentino-Alto Adige/Südtirol,5,,,,,,,,5452,,,,,,,,5172
Trentino-Alto Adige/Südtirol,6,,,,,,,,5483,,,,,,,,5125
Trentino-Alto Adige/Südtirol,7,,,,,,,,5580,,,,,,,,5262
Trentino-Alto Adige/Südtirol,8,,,,,,,,5573,,,,,,,,5312
Trentino-Alto Adige/Südtirol,9,,,,,,,,5730,,,,,,,,5338
Trentino-Alto Adige/Südtirol,10,,,,,,,,5666,,,,,,,,5294
Trentino-Alto Adige/Südtirol,11,,,,,,,,5767,,,,,,,,5482
Trentino-Alto Adige/Südtirol,12,,,,,,,,5804,,,,,,,,5328
Trentino-Alto Adige/Südtirol,13,,,,,,,,5775,,,,,,,,5424
Trentino-Alto Adige/Südtirol,14,,,,,,,,5955,,,,,,,,5397
Trentino-Alto Adige/Südtirol,15,,,,,,,,5922,,,,,,,,5568
Trentino-Alto Adige/Südtirol,16,,,,,,,,5849,,,,,,,,5390
Trentino-Alto Adige/Südtirol,17,,,,,,,,5760,,,,,,,,5372
Trentino-Alto Adige/Südtirol,18,,,,,,,,6027,,,,,,,,5439
Trentino-Alto Adige/Südtirol,19,,,,,,,,6048,,,,,,,,5695
Trentino-Alto Adige/Südtirol,20,,,,,,,,6076,,,,,,,,5675
Trentino-Alto Adige/Südtirol,21,,,,,,,,6129,,,,,,,,5767
Trentino-Alto Adige/Südtirol,22,,,,,,,,6221,,,,,,,,5674
Trentino-Alto Adige/Südtirol,23,,,,,,,,6116,,,,,,,,5730
Trentino-Alto Adige/Südtirol,24,,,,,,,,6045,,,,,,,,5527
Trentino-Alto Adige/Südtirol,25,,,,,,,,6031,,,,,,,,5726
Trentino-Alto Adige/Südtirol,26,,,,,,,,5945,,,,,,,,5682
Trentino-Alto Adige/Südtirol,27,,,,,,,,6182,,,,,,,,5877
Trentino-Alto Adige/Südtirol,28,,,,,,,,6203,,,,,,,,5856
Trentino-Alto Adige/Südtirol,29,,,,,,,,6269,,,,,,,,5893
Trentino-Alto Adige/Südtirol,30,,,,,,,,6108,,,,,,,,5904
Trentino-Alto Adige/Südtirol,31,,,,,,,,6161,,,,,,,,5926
Trentino-Alto Adige/Südtirol,32,,,,,,,,5984,,,,,,,,5900
Trentino-Alto Adige/Südtirol,33,,,,,,,,6057,,,,,,,,5864
Trentino-Alto Adige/Südtirol,34,,,,,,,,6205,,,,,,,,6002
Trentino-Alto Adige/Südtirol,35,,,,,,,,6243,,,,,,,,6021
Trentino-Alto Adige/Südtirol,36,,,,,,,,6373,,,,,,,,6240
Trentino-Alto Adige/Südtirol,37,,,,,,,,6583,,,,,,,,6471
Trentino-Alto Adige/Südtirol,38,,,,,,,,6538,,,,,,,,6405
Trentino-Alto Adige/Südtirol,39,,,,,,,,6591,,,,,,,,6524
Trentino-Alto Adige/Südtirol,40,,,,,,,,6518,,,,,,,,6649
Trentino-Alto Adige/Südtirol,41,,,,,,,,6918,,,,,,,,6947
Trentino-Alto Adige/Südtirol,42,,,,,,,,6984,,,,,,,,6969
Trentino-Alto Adige/Südtirol,43,,,,,,,,7153,,,,,,,,7364
Trentino-Alto Adige/Südtirol,44,,,,,,,,7520,,,,,,,,7743
Trentino-Alto Adige/Südtirol,45,,,,,,,,8110,,,,,,,,8067
Trentino-Alto Adige/Südtirol,46,,,,,,,,8010,,,,,,,,8206
Trentino-Alto Adige/Südtirol,47,,,,,,,,8207,,,,,,,,8256
Trentino-Alto Adige/Südtirol,48,,,,,,,,8486,,,,,,,,8529
Trentino-Alto Adige/Südtirol,49,,,,,,,,8309,,,,,,,,8392
Trentino-Alto Adige/Südtirol,50,,,,,,,,8953,,,,,,,,8611
Trentino-Alto Adige/Südtirol,51,,,,,,,,8785,,,,,,,,8630
Trentino-Alto Adige/Südtirol,52,,,,,,,,8579,,,,,,,,8763
Trentino-Alto Adige/Südtirol,53,,,,,,,,8871,,,,,,,,8854
Trentino-Alto Adige/Südtirol,54,,,,,,,,9063,,,,,,,,8751
Trentino-Alto Adige/Südtirol,55,,,,,,,,8940,,,,,,,,8801
Trentino-Alto Adige/Südtirol,56,,,,,,,,8364,,,,,,,,8264
Trentino-Alto Adige/Südtirol,57,,,,,,,,7788,,,,,,,,7941
Trentino-Alto Adige/Südtirol,58,,,,,,,,7716,,,,,,,,7961
Trentino-Alto Adige/Südtirol,59,,,,,,,,7530,,,,,,,,7484
Trentino-Alto Adige/Südtirol,60,,,,,,,,7284,,,,,,,,7220
Trentino-Alto Adige/Südtirol,61,,,,,,,,6736,,,,,,,,6858
Trentino-Alto Adige/Südtirol,62,,,,,,,,6433,,,,,,,,6867
Trentino-Alto Adige/Südtirol,63,,,,,,,,6361,,,,,,,,6483
Trentino-Alto Adige/Südtirol,64,,,,,,,,6041,,,,,,,,6217
Trentino-Alto Adige/Südtirol,65,,,,,,,,5813,,,,,,,,6043
Trentino-Alto Adige/Südtirol,66,,,,,,,,5675,,,,,,,,5966
Trentino-Alto Adige/Südtirol,67,,,,,,,,5468,,,,,,,,5843
Trentino-Alto Adige/Südtirol,68,,,,,,,,5392,,,,,,,,5587
Trentino-Alto Adige/Südtirol,69,,,,,,,,5421,,,,,,,,5873
Trentino-Alto Adige/Südtirol,70,,,,,,,,5228,,,,,,,,5548
Trentino-Alto Adige/Südtirol,71,,,,,,,,5380,,,,,,,,5697
Trentino-Alto Adige/Südtirol,72,,,,,,,,5026,,,,,,,,5670
Trentino-Alto Adige/Südtirol,73,,,,,,,,5314,,,,,,,,6074
Trentino-Alto Adige/Südtirol,74,,,,,,,,3807,,,,,,,,4291
Trentino-Alto Adige/Südtirol,75,,,,,,,,4259,,,,,,,,4955
Trentino-Alto Adige/Südtirol,76,,,,,,,,4441,,,,,,,,5220
Trentino-Alto Adige/Südtirol,77,,,,,,,,4315,,,,,,,,5120
Trentino-Alto Adige/Südtirol,78,,,,,,,,4175,,,,,,,,5117
